tweet_id,author_id,created_at,text,retweet_count,reply_count,like_count,quote_count,start_time,end_time
1982704819455586585,1483706393870094336,2025-10-27 07:04:00+00:00,@zomatocare @zomato @zomatocare  didn't heard back anything from you is this should I expect from your side ?,0,1,0,0,2025-10-25,2025-10-27
1982703949363720426,1432663872360513536,2025-10-27 07:00:33+00:00,"Order id : 7418195447
@zomato
 
@zomatocare
 
Recieved rotten food. I need refund.
No proper response in emails and App. https://t.co/VT17zYyzxg",0,1,0,1,2025-10-25,2025-10-27
1982703839200661560,903718863795130368,2025-10-27 07:00:06+00:00,@zomatocare How can a company be so dumb if the zomato executive also confirmed with restuarant than how can u put all blame on me???? And today morning you imposed penalty on me for that order IM DONE WITH ZOMATO not gonna work in zomato after this they don't help riders,0,1,0,0,2025-10-25,2025-10-27
1982702409571819991,1679822431597506562,2025-10-27 06:54:25+00:00,"Zomato and Swiggy both use fake or AI images so trusting food on image is bad idea
The restaurant should be responsible for sending as per the advertisement and platforms should check and verify ✅ before 
This is a scam https://t.co/kVzTG9muIk",0,0,0,0,2025-10-25,2025-10-27
1982702201249337839,1982697510599847937,2025-10-27 06:53:36+00:00,Please Activate my zomato Id FE3771930 @zomatocare @zomato @Zomato_delivery https://t.co/OJH11r6XbU,0,1,0,0,2025-10-25,2025-10-27
1982701466247921792,1982697510599847937,2025-10-27 06:50:41+00:00,"Please Activate My zomato Id 
FE3771930 https://t.co/sMUjvXBoWG",1,0,0,0,2025-10-25,2025-10-27
1982701165734461837,140704276,2025-10-27 06:49:29+00:00,"@NalinisKitchen you got no discount you paid extra, menu seen on zomato is 15-30%  higher than the original menu of restaurant they raise the price and give discounts to fools like you",0,0,1,0,2025-10-25,2025-10-27
1982700340677071296,4852671254,2025-10-27 06:46:12+00:00,"Red book from Zomato and 
Red book from facebook https://t.co/fqyljIKGSo",0,0,0,0,2025-10-25,2025-10-27
1982700180295348661,1679596082517639172,2025-10-27 06:45:34+00:00,"I ordered 4 pieces of chicken but received only 1. I paid the full amount and this is unacceptable. I have already mailed support with no valid response so far. Please take responsibility for this service issue and resolve it urgently
My order ID - 7417261739
@zomatocare @zomato https://t.co/JCasAFHbDQ",0,2,3,1,2025-10-25,2025-10-27
1982699864535560690,1307692560840704000,2025-10-27 06:44:19+00:00,"Looking good for positional                 
Views are for educational purpose              
#Nifty #banknifty #StockMarket #stockstowatch #optiontrading #optionbuying #trademega #frontpage_app #investing #TradersDiary #StocksToBuy #eternal #StocksInFocus #zomato #StockMarketNews https://t.co/h0lXeqGfbg",0,0,1,0,2025-10-25,2025-10-27
1982698969563283552,1162744872,2025-10-27 06:40:45+00:00,"""@ZomatoIndia's customer care is a mess! No phone support, just automated messages. How to resolve emergency issues? Frustrating experience! #Zomato #CustomerSupport""",0,1,0,0,2025-10-25,2025-10-27
1982698757319012414,1197729412159983616,2025-10-27 06:39:55+00:00,@rishibagree But still Zomato guy is running for Rs 25 per delivery,0,0,0,0,2025-10-25,2025-10-27
1982698684941783329,1513855433638785027,2025-10-27 06:39:37+00:00,"@varunramg Zerodha's recent AMA is , I think , a perfect illustration of how that company operates. I strongly believe zerodha and eternal (zomato) are what future startups of India will look like.  Look at companies Deepinder has invested in completely orthogonal to how traditional",0,1,13,0,2025-10-25,2025-10-27
1982698487171985674,2509622862,2025-10-27 06:38:50+00:00,"What's with the letter ""z""? Every company with ""z"" explodes.

Zerodha,Zoho,Zomato,Zepto,Zoom.",0,0,0,0,2025-10-25,2025-10-27
